X,Y
0,74
1,69
2,77
3,76
4,80
5,71
6,85
7,76
8,78
9,85
10,82
11,86
12,85
13,90
14,92
15,92
16,97
17,96
18,101
19,106
20,99
21,98
22,104
23,100
24,103
25,107
26,110
27,100
28,104
29,109
30,112
31,109
32,107
33,107
34,106
35,104
36,110
37,107
38,102
39,103
40,103
41,107
42,101
43,103
44,98
45,107
46,100
47,106
48,102
49,100
50,95
51,102
52,106
53,110
54,107
55,96
56,106
57,105
58,108
59,101
60,109
61,96
62,101
63,116
64,107
65,112
66,105
67,109
68,101
69,105
70,99
71,104
72,102
73,108
74,100
75,102
76,95
77,97
78,94
79,104
80,102
81,97
82,101
83,103
84,103
85,94
86,90
87,96
88,99
89,96
90,95
91,97
92,97
93,103
94,95
95,108
96,95
97,101
98,96
99,97
100,96
101,90
102,94
103,94
104,92
105,94
106,90
107,90
108,85
109,87
110,86
111,84
112,89
113,81
114,78
115,90
116,83
117,80
118,83
119,84
120,86
121,74
122,80
123,72
124,83
125,82
126,72
127,79
128,66
129,80
130,69
131,71
132,59
133,60
134,57
135,57
136,61
137,52
138,54
139,55
140,57
141,51
142,50
143,54
144,58
145,54
146,48
147,48
148,47
149,42
150,48
151,40
152,44
153,39
154,41
155,41
156,34
157,41
158,36
159,39
160,37
161,38
162,40
163,41
164,42
165,42
166,40
167,38
168,38
169,42
170,37
171,38
172,37
173,41
174,37
175,33
176,34
177,35
178,38
179,35
180,38
181,37
182,33
183,35
184,40
185,29
186,37
187,34
188,37
189,32
190,31
191,35
192,34
193,34
194,38
195,31
196,34
197,40
198,34
199,36
200,36
201,38
202,41
203,32
204,38
205,38
206,41
207,41
208,45
209,44
210,45
211,48
212,45
213,46
214,43
215,47
216,46
217,46
218,48
219,47
220,46
221,47
222,49
223,53
224,51
225,52
226,49
227,46
228,47
229,51
230,45
231,53
232,47
233,56
234,52
235,51
236,48
237,60
238,56
239,56
240,67
241,54
242,63
243,71
244,64
245,67
246,74
247,76
248,81
249,80
250,84
251,81
252,84
253,87
254,97
255,96
256,97
257,102
258,98
259,99
260,93
261,94
262,94
263,100
264,104
265,112
266,112
267,109
268,116
269,117
270,109
271,112
272,113
273,113
274,113
275,115
276,108
277,106
278,104
279,108
280,105
281,103
282,107
283,102
284,102
285,107
286,113
287,109
288,111
289,107
290,105
291,107
292,105
293,104
294,101
295,107
296,113
297,107
298,109
299,108
300,111
301,104
302,112
303,105
304,107
305,105
306,103
307,110
308,109
309,107
310,105
311,107
312,109
313,103
314,110
315,102
316,110
317,104
318,102
319,105
320,108
321,110
322,102
323,95
324,102
325,103
326,101
327,94
328,100
329,100
330,111
331,107
332,104
333,107
334,110
335,110
336,111
337,99
338,103
339,101
340,109
341,100
342,91
343,98
344,99
345,99
346,96
347,93
348,87
349,92
350,88
351,91
352,86
353,83
354,85
355,84
356,85
357,85
358,87
359,82
360,76
361,82
362,81
363,78
364,77
365,80
366,74
367,77
368,72
369,71
370,65
371,66
372,67
373,63
374,55
375,61
376,60
377,58
378,64
379,53
380,58
381,46
382,51
383,52
384,52
385,51
386,44
387,50
388,44
389,46
390,42
391,45
392,45
393,42
394,42
395,41
396,39
397,41
398,42
399,41
400,47
401,42
402,43
403,41
404,43
405,41
406,36
407,45
408,44
409,43
410,39
411,39
412,40
413,43
414,45
415,46
416,37
417,43
418,43
419,41
420,45
421,44
422,48
423,42
424,46
425,43
426,43
427,42
428,40
429,46
430,44
431,42
432,43
433,40
434,49
435,46
436,46
437,46
438,49
439,48
440,49
441,49
442,44
443,45
444,43
445,45
446,45
447,45
448,43
449,45
450,44
451,46
452,51
453,44
454,44
455,42
456,45
457,51
458,51
459,52
460,53
461,54
462,49
463,48
464,49
465,55
466,50
467,53
468,57
469,57
470,61
471,56
472,66
473,58
474,62
475,56
476,65
477,58
478,66
479,67
480,71
481,68
482,70
483,80
484,82
485,74
486,74
487,81
488,82
489,84
490,89
491,86
492,87
493,86
494,85
495,93
496,92
497,96
498,88
499,98
500,99
501,99
502,105
503,109
504,106
505,104
506,106
507,107
508,110
509,110
510,112
511,101
512,100
513,108
514,116
515,104
516,106
517,106
518,108
519,106
520,107
521,107
522,111
523,110
524,113
525,104
526,108
527,108
528,108
529,113
530,108
531,103
532,106
533,102
534,103
535,101
536,109
537,105
538,107
539,109
540,110
541,100
542,105
543,106
544,106
545,119
546,112
547,108
548,105
549,113
550,112
551,106
552,110
553,114
554,99
555,110
556,104
557,111
558,114
559,111
560,112
561,113
562,109
563,104
564,103
565,103
566,107
567,109
568,109
569,95
570,104
571,110
572,104
573,101
574,99
575,100
576,97
577,95
578,97
579,92
580,97
581,95
582,98
583,101
584,93
585,100
586,97
587,99
588,99
589,91
590,97
591,94
592,93
593,88
594,87
595,89
596,83
597,82
598,81
599,84
600,80
601,83
602,76
603,82
604,79
605,71
606,85
607,82
608,74
609,80
610,73
611,72
612,66
613,66
614,67
615,56
616,66
617,67
618,64
619,57
620,55
621,56
622,57
623,55
624,52
625,58
626,51
627,53
628,51
629,45
630,45
631,44
632,46
633,42
634,47
635,41
636,42
637,43
638,42
639,42
640,44
641,39
642,39
643,37
644,44
645,43
646,45
647,42
648,41
649,42
650,40
651,39
652,42
653,40
654,42
655,45
656,45
657,45
658,43
659,42
660,41
661,47
662,50
663,48
664,46
665,46
666,46
667,46
668,49
669,48
670,47
671,50
672,43
673,48
674,44
675,44
676,42
677,45
678,41
679,48
680,49
681,46
682,46
683,47
684,50
685,46
686,48
687,46
688,47
689,48
690,44
691,48
692,43
693,47
694,48
695,49
696,50
697,49
698,49
699,50
700,51
701,47
702,53
703,51
704,51
705,51
706,51
707,52
708,60
709,61
710,57
711,56
712,56
713,64
714,63
715,65
716,65
717,69
718,69
719,67
720,69
721,65
722,74
723,77
724,82
725,75
726,80
727,80
728,86
729,83
730,87
731,87
732,94
733,98
734,99
735,98
736,96
737,92
738,96
739,98
740,88
741,84
742,98
743,94
744,96
745,95
746,102
747,105
748,103
749,101
750,105
751,113
752,104
753,109
754,109
755,108
756,112
757,118
758,102
759,101
760,102
761,101
762,97
763,96
764,90
765,105
766,116
767,119
768,114
769,118
770,110
771,113
772,115
773,100
774,107
775,103
776,107
777,111
778,109
779,114
780,115
781,113
782,111
783,106
784,105
785,102
786,109
787,108
788,105
789,115
790,114
791,119
792,111
793,117
794,124
795,106
796,103
797,111
798,110
799,115
800,109
801,108
802,111
803,110
804,109
805,114
806,107
807,107
808,107
809,117
810,113
811,105
812,102
813,109
814,107
815,101
816,111
817,102
818,98
819,106
820,98
821,101
822,109
823,99
824,103
825,101
826,97
827,90
828,100
829,98
830,91
831,92
832,97
833,93
834,95
835,88
836,94
837,92
838,86
839,90
840,80
841,82
842,87
843,84
844,86
845,79
846,74
847,76
848,82
849,81
850,75
851,75
852,74
853,72
854,70
855,66
856,62
857,65
858,62
859,64
860,65
861,61
862,63
863,59
864,59
865,54
866,52
867,53
868,53
869,52
870,48
871,47
872,45
873,46
874,46
875,45
876,46
877,46
878,42
879,45
880,43
881,37
882,44
883,38
884,41
885,46
886,40
887,43
888,38
889,44
890,44
891,44
892,46
893,40
894,48
895,44
896,48
897,50
898,43
899,42
900,40
901,43
902,45
903,43
904,44
905,43
906,47
907,48
908,46
909,39
910,41
911,52
912,47
913,47
914,43
915,44
916,44
917,48
918,48
919,44
920,46
921,50
922,45
923,49
924,43
925,50
926,43
927,46
928,44
929,46
930,47
931,42
932,49
933,45
934,48
935,49
936,54
937,49
938,47
939,53
940,48
941,51
942,51
943,57
944,51
945,53
946,53
947,60
948,59
949,63
950,53
951,57
952,63
953,58
954,63
955,65
956,66
957,64
958,66
959,63
960,69
961,67
962,77
963,77
964,77
965,78
966,82
967,84
968,85
969,79
970,83
971,86
972,84
973,83
974,88
975,88
976,90
977,92
978,97
979,95
980,87
981,97
982,97
983,94
984,92
985,100
986,103
987,95
988,98
989,103
990,101
991,103
992,98
993,101
994,107
995,112
996,111
997,116
998,113
999,115
1000,111
1001,110
1002,113
1003,116
1004,111
1005,102
1006,106
1007,108
1008,102
1009,106
1010,113
1011,109
1012,114
1013,106
1014,115
1015,107
1016,110
1017,114
1018,117
1019,121
1020,116
1021,104
1022,120
1023,112
1024,112
1025,107
1026,111
1027,109
1028,109
1029,107
1030,116
1031,115
1032,108
1033,107
1034,113
1035,120
1036,109
1037,119
1038,111
1039,112
1040,115
1041,114
1042,108
1043,112
1044,113
1045,112
1046,115
1047,110
1048,118
1049,110
1050,111
1051,109
1052,108
1053,107
1054,108
1055,109
1056,100
1057,103
1058,100
1059,98
1060,98
1061,107
1062,97
1063,100
1064,99
1065,106
1066,98
1067,92
1068,103
1069,97
1070,102
1071,98
1072,95
1073,98
1074,92
1075,97
1076,87
1077,91
1078,88
1079,89
1080,89
1081,88
1082,86
1083,85
1084,84
1085,82
1086,82
1087,84
1088,78
1089,71
1090,78
1091,72
1092,75
1093,73
1094,72
1095,71
1096,69
1097,59
1098,64
1099,63
1100,58
1101,57
1102,60
1103,54
1104,54
1105,56
1106,50
1107,53
1108,52
1109,48
1110,48
1111,51
1112,48
1113,43
1114,51
1115,44
1116,46
1117,44
1118,43
1119,38
1120,44
1121,45
1122,40
1123,44
1124,43
1125,39
1126,40
1127,42
1128,38
1129,40
1130,39
1131,39
1132,44
1133,43
1134,43
1135,38
1136,39
1137,43
1138,46
1139,43
1140,47
1141,42
1142,44
1143,48
1144,43
1145,48
1146,43
1147,43
1148,44
1149,46
1150,44
1151,43
1152,47
1153,43
1154,45
1155,45
1156,46
1157,49
1158,47
1159,45
1160,43
1161,41
1162,46
1163,50
1164,48
1165,44
1166,52
1167,51
1168,46
1169,44
1170,57
1171,50
1172,51
1173,48
1174,47
1175,48
1176,54
1177,52
1178,51
1179,52
1180,56
1181,54
1182,46
1183,55
1184,56
1185,59
1186,51
1187,65
1188,55
1189,62
1190,57
1191,66
1192,55
1193,64
1194,63
1195,69
1196,68
