X,Y
0,50.2410
1,49.0645
2,48.1347
3,47.2666
4,46.5683
5,45.5256
6,44.5816
7,43.9877
8,43.2913
9,42.8340
10,42.3140
11,41.9848
12,41.4715
13,41.2789
14,41.0294
15,40.9611
16,40.7799
17,40.6167
18,40.7628
19,40.9564
20,41.0465
21,41.0930
22,41.3520
23,41.3245
24,41.4118
25,41.6224
26,41.7903
27,41.9829
28,42.2372
29,42.4336
30,42.5740
31,42.7268
32,43.0541
33,43.3311
34,43.3928
35,43.6936
36,43.8757
37,43.9630
38,44.2770
39,44.4336
40,44.5313
41,44.5844
42,44.7144
43,44.9203
44,45.0588
45,45.1755
46,45.4469
47,45.6888
48,45.5787
49,45.8624
50,46.0313
51,46.0968
52,46.1765
53,46.5712
54,46.7732
55,46.9137
56,47.0190
57,47.1556
58,47.5057
59,47.5977
60,47.6774
61,47.8681
62,48.1850
63,48.1822
64,48.5114
65,48.8102
66,49.1803
67,49.4763
68,49.6774
69,49.9715
70,50.1575
71,50.5882
72,50.9345
73,51.3340
74,51.5664
75,52.0152
76,52.4070
77,52.9127
78,53.1252
79,53.8207
80,54.2097
81,54.7220
82,55.2941
83,56.1186
84,56.5342
85,57.2704
86,57.8027
87,58.9108
88,59.7030
89,60.6793
90,61.5190
91,62.2296
92,63.3416
93,64.7334
94,65.5133
95,66.8510
96,67.9336
97,69.4488
98,70.6148
99,72.1480
100,73.7562
101,75.2372
102,76.8501
103,78.4497
104,80.0987
105,81.9080
106,83.3662
107,85.0598
108,86.7638
109,88.1129
110,89.8833
111,91.5626
112,92.9744
113,94.8615
114,95.9222
115,97.2192
116,98.7856
117,100.0209
118,100.7609
119,101.9488
120,102.6300
121,103.4051
122,104.1793
123,104.8738
124,104.7723
125,105.0076
126,105.4611
127,105.5066
128,105.3966
129,105.6063
130,105.8273
131,105.4744
132,105.1869
133,104.5958
134,104.1546
135,103.4355
136,102.9981
137,102.2932
138,102.1433
139,101.7315
140,101.3776
141,100.9915
142,101.1281
143,100.6917
144,100.6471
145,100.4867
146,100.0996
147,100.1898
148,100.0180
149,99.8824
150,99.6167
151,99.3681
152,99.1603
153,99.5237
154,99.3757
155,99.5351
156,99.7514
157,100.0342
158,100.1632
159,100.4630
160,100.3748
161,100.2154
162,100.3890
163,100.4421
164,100.2040
165,99.8918
166,99.7875
167,99.8662
168,100.0161
169,100.1129
170,99.7135
171,99.5389
172,99.5484
173,99.2239
174,98.9734
175,99.0237
176,98.8311
177,98.5806
178,98.4032
179,98.2543
180,98.0484
181,97.4421
182,97.3302
183,97.0066
184,96.7268
185,96.2097
186,95.7372
187,95.1907
188,94.4564
189,94.1471
190,93.8349
191,93.1537
192,92.6120
193,91.9118
194,91.4886
195,90.8140
196,90.4915
197,90.0190
198,89.4725
199,89.1917
200,88.7438
201,88.1376
202,87.7059
203,87.1841
204,86.5275
205,86.0209
206,85.2552
207,85.0019
208,84.2619
209,83.4175
210,82.8975
211,82.3074
212,81.6044
213,80.7495
214,80.0750
215,79.1347
216,78.3140
217,77.5266
218,76.4497
219,75.3767
220,74.3254
221,73.2201
222,72.2030
223,71.1044
224,69.9649
225,68.9611
226,67.8672
227,66.4469
228,65.3102
229,63.8738
230,62.4241
231,61.1072
232,60.0180
233,58.8131
234,57.9099
235,56.7884
236,55.5873
237,54.5645
238,53.3368
239,51.9412
240,51.1404
241,50.1414
242,49.1679
243,48.2495
244,47.4734
245,46.5901
246,45.7581
247,44.9459
248,44.2400
249,43.8273
250,43.1063
251,42.7315
252,42.5266
253,42.1954
254,41.7979
255,41.6139
256,41.4658
257,41.4658
258,41.2457
259,41.2078
260,41.1860
261,41.3283
262,41.5939
263,41.5987
264,41.5787
265,41.9488
266,41.9440
267,42.1575
268,42.1414
269,42.3083
270,42.3491
271,42.4934
272,42.8074
273,42.8264
274,42.9260
275,43.0645
276,43.1698
277,43.2932
278,43.2894
279,43.3861
280,43.5009
281,43.9516
282,43.8093
283,43.9981
284,44.0323
285,44.3188
286,44.2837
287,44.5579
288,44.7258
289,44.7922
290,44.9061
291,45.2457
292,45.2040
293,45.2315
294,45.5171
295,45.5294
296,45.3491
297,45.6755
298,45.7789
299,45.9839
300,45.8748
301,45.9554
302,46.2002
303,46.5000
304,46.5370
305,47.0304
306,47.2761
307,47.5408
308,47.6670
309,48.0057
310,48.4165
311,48.6252
312,49.1091
313,49.2476
314,49.4810
315,50.1205
316,50.2372
317,50.7704
318,51.3055
319,51.8786
320,52.4620
321,53.1499
322,53.5939
323,54.1528
324,54.9744
325,55.6243
326,56.4639
327,57.2723
328,58.1869
329,59.0218
330,60.3216
331,61.2239
332,62.1907
333,63.5123
334,64.6129
335,65.7666
336,67.1262
337,68.3558
338,69.5731
339,71.1812
340,72.5427
341,74.1281
342,75.7125
343,77.3577
344,78.9507
345,80.6736
346,82.1660
347,83.7694
348,85.5275
349,86.8292
350,88.6233
351,90.4061
352,91.9516
353,93.6936
354,95.1727
355,96.7438
356,98.1565
357,99.0626
358,100.4355
359,101.4165
360,102.5550
361,103.8529
362,104.8387
363,105.5569
364,105.9583
365,106.5541
366,107.0550
367,107.5769
368,107.4687
369,107.5522
370,107.6888
371,107.0939
372,107.4032
373,107.0237
374,106.6746
375,106.2410
376,105.9402
377,105.5750
378,105.0816
379,104.6765
380,104.3159
381,103.9687
382,103.8615
383,103.8055
384,103.6385
385,103.7059
386,103.6271
387,104.0133
388,103.8786
389,104.0104
390,104.4241
391,104.4241
392,103.9564
393,104.3918
394,104.3197
395,104.5712
396,104.3871
397,104.8975
398,105.1357
399,105.0266
400,105.0617
401,104.9061
402,104.6442
403,104.3975
404,104.4829
405,104.4364
406,104.4194
407,104.2011
408,104.4175
409,104.3956
410,104.1480
411,104.2486
412,103.9146
413,103.7154
414,103.5901
415,103.5019
416,103.2960
417,103.2306
418,103.0769
419,102.8510
420,102.4516
421,102.0085
422,101.4715
423,101.4706
424,101.0389
425,100.7694
426,100.6091
427,100.4478
428,99.8710
429,99.4810
430,99.1167
431,98.7552
432,98.1945
433,97.9194
434,97.2581
435,96.4089
436,96.0247
437,95.3074
438,94.4953
439,94.0512
440,93.4734
441,92.5939
442,91.8150
443,91.1689
444,90.5522
445,90.1490
446,89.4156
447,88.9649
448,88.2657
449,87.6025
450,87.0740
451,86.5142
452,85.9070
453,84.9497
454,83.8880
455,82.9668
456,82.0996
457,80.8226
458,80.0047
459,78.8937
460,77.9042
461,76.9535
462,75.8169
463,74.7429
464,73.5806
465,72.1319
466,70.6603
467,69.5522
468,68.1167
469,66.5778
470,65.0901
471,63.6622
472,62.2695
473,60.8738
474,59.5683
475,57.9421
476,56.6281
477,55.3273
478,53.9639
479,52.8368
480,51.5930
481,50.6233
482,49.6139
483,48.7040
484,47.9535
485,46.8605
486,46.1319
487,45.3017
488,44.6471
489,44.1831
490,43.5370
491,43.1186
492,42.6205
493,42.2078
494,42.1319
495,41.6869
496,41.5142
497,41.3672
498,41.2505
499,41.2695
500,41.2220
501,41.4070
502,41.3046
503,41.5465
504,41.6793
505,41.8008
506,41.7524
507,42.1528
508,42.2268
509,42.2562
510,42.5721
511,42.6546
512,42.6926
513,42.8046
514,42.8814
515,42.9545
516,43.1594
517,43.4630
518,43.6176
519,43.6869
520,43.8937
521,43.7875
522,44.0028
523,44.2116
524,44.4583
525,44.4867
526,44.6214
527,44.6708
528,44.6755
529,44.7732
530,44.8710
531,44.8074
532,45.1091
533,45.0949
534,45.1603
535,45.4184
536,45.7884
537,45.6110
538,45.6803
539,45.9991
540,45.9250
541,45.9108
542,46.2799
543,46.3710
544,46.4934
545,46.3852
546,46.6433
547,47.0019
548,47.2230
549,47.2941
550,47.4307
551,47.9231
552,48.2011
553,48.5114
554,48.7372
555,49.0816
556,49.4991
557,49.9706
558,50.4848
559,51.0455
560,51.5835
561,52.1689
562,52.8643
563,53.6186
564,54.2324
565,54.9042
566,55.6385
567,56.5389
568,57.3653
569,58.1784
570,59.0361
571,60.4250
572,61.3757
573,62.4364
574,63.6433
575,65.0683
576,66.1025
577,67.6689
578,69.2552
579,70.9089
580,72.5759
581,74.1376
582,75.5693
583,77.0683
584,78.9004
585,80.2884
586,81.7922
587,83.2505
588,84.7770
589,86.1025
590,87.9516
591,89.3918
592,90.9222
593,92.3795
594,93.6025
595,95.1594
596,96.7040
597,97.8786
598,99.3273
599,100.6490
600,101.9583
601,102.9877
602,104.0816
603,105.1565
604,105.6831
605,106.6850
606,106.9469
607,107.8520
608,107.9250
609,108.1841
610,108.9915
611,108.7789
612,109.2343
613,109.2353
614,109.0161
615,109.0085
616,108.6025
617,108.1423
618,108.1319
619,107.3861
620,107.1556
621,106.5664
622,106.0408
623,105.4772
624,105.0844
625,104.5228
626,104.6006
627,104.1148
628,104.0996
629,104.4250
630,104.3235
631,104.6385
632,104.5645
633,104.7970
634,104.9592
635,105.5038
636,105.5465
637,106.2049
638,106.2049
639,106.5209
640,106.9478
641,106.6480
642,106.7856
643,107.0541
644,107.1034
645,107.3017
646,107.2837
647,107.0996
648,106.6869
649,107.1936
650,107.0702
651,106.9658
652,107.0161
653,107.0161
654,106.9573
655,106.6841
656,106.7059
657,106.2277
658,105.7087
659,105.4175
660,105.4203
661,105.1736
662,105.0484
663,104.5484
664,104.3064
665,104.0398
666,103.5721
667,103.3131
668,102.7562
669,102.5702
670,101.7135
671,101.6575
672,101.2315
673,100.6651
674,99.8681
675,99.1527
676,98.5693
677,97.6575
678,97.3178
679,96.8501
680,96.0256
681,95.4877
682,94.5389
683,94.1689
684,93.1082
685,92.2296
686,91.8444
687,90.9886
688,90.1973
689,89.5645
690,88.8368
691,88.1347
692,87.4070
693,86.4734
694,85.5987
695,84.6110
696,84.0759
697,83.0645
698,82.0408
699,80.8435
700,80.0142
701,78.7590
702,77.7030
703,76.6195
704,75.0844
705,73.9677
706,72.5844
707,71.4099
708,69.7571
709,68.4450
710,66.7230
711,65.2960
712,63.9431
713,62.7353
714,61.2211
715,59.7154
716,58.1537
717,56.8634
718,55.6290
719,54.4250
720,52.9668
721,52.0085
722,50.7552
723,49.6698
724,48.7135
725,47.4972
726,46.7837
727,45.9061
728,45.2277
729,44.5987
730,43.9639
731,43.5968
732,42.9753
733,42.6698
734,42.2685
735,41.9156
736,41.5977
737,41.5588
738,41.5076
739,41.2249
740,41.3719
741,41.2685
742,41.5190
743,41.3662
744,41.5446
745,41.7192
746,41.8700
747,41.8814
748,42.2457
749,42.2704
750,42.3074
751,42.5351
752,42.7011
753,42.8662
754,43.0712
755,42.8672
756,43.1157
757,43.2457
758,43.2305
759,43.4070
760,43.4099
761,43.6063
762,43.6803
763,43.8055
764,43.9545
765,44.0550
766,44.0332
767,44.2713
768,44.2770
769,44.3634
770,44.2059
771,44.5825
772,44.6613
773,44.7524
774,44.9023
775,44.9469
776,45.1091
777,45.2856
778,45.3197
779,45.2998
780,45.6917
781,45.6803
782,45.7268
783,45.8805
784,46.1632
785,46.2059
786,46.5237
787,46.6679
788,46.9810
789,47.2106
790,47.4867
791,47.6082
792,48.0228
793,48.3463
794,48.6328
795,49.1556
796,49.6366
797,50.0019
798,50.5247
799,51.1110
800,51.8359
801,52.5816
802,53.3596
803,54.2913
804,54.8966
805,55.6879
806,56.5778
807,57.6205
808,58.5474
809,59.5019
810,60.3814
811,61.6528
812,63.0009
813,64.1328
814,65.4649
